# Time (ns)	Electric Potential (V)
0.485674	2.53898e-08
0.487141	2.61911e-08
0.488609	2.69992e-08
0.490076	2.78139e-08
0.491543	2.86349e-08
0.49301	2.9462e-08
0.494478	3.02951e-08
0.495945	3.11339e-08
0.497412	3.19784e-08
0.49888	3.28283e-08
0.500347	3.36836e-08
0.501814	3.45443e-08
0.503281	3.54103e-08
0.504749	3.62816e-08
0.506216	3.71582e-08
0.507683	3.80402e-08
0.509151	3.89277e-08
0.510618	3.98207e-08
0.512085	4.07194e-08
0.513553	4.16239e-08
0.51502	4.25344e-08
0.516487	4.34511e-08
0.517954	4.43742e-08
0.519422	4.53041e-08
0.520889	4.62409e-08
0.522356	4.7185e-08
0.523824	4.81367e-08
0.525291	4.90963e-08
0.526758	5.00643e-08
0.528225	5.10409e-08
0.529693	5.20267e-08
0.53116	5.30221e-08
0.532627	5.40275e-08
0.534095	5.50435e-08
0.535562	5.60704e-08
0.537029	5.7109e-08
0.538496	5.81596e-08
0.539964	5.92229e-08
0.541431	6.02994e-08
0.542898	6.13898e-08
0.544366	6.24947e-08
0.545833	6.36147e-08
0.5473	6.47505e-08
0.548768	6.59029e-08
0.550235	6.70724e-08
0.551702	6.82598e-08
0.553169	6.94658e-08
0.554637	7.06912e-08
0.556104	7.19367e-08
0.557571	7.32032e-08
0.559039	7.44913e-08
0.560506	7.5802e-08
0.561973	7.71359e-08
0.56344	7.8494e-08
0.564908	7.9877e-08
0.566375	8.12858e-08
0.567842	8.27212e-08
0.56931	8.41841e-08
0.570777	8.56753e-08
0.572244	8.71957e-08
0.573712	8.87462e-08
0.575179	9.03275e-08
0.576646	9.19407e-08
0.578113	9.35866e-08
0.579581	9.52659e-08
0.581048	9.69798e-08
0.582515	9.87289e-08
0.583983	1.00514e-07
0.58545	1.02337e-07
0.586917	1.04197e-07
0.588384	1.06096e-07
0.589852	1.08035e-07
0.591319	1.10015e-07
0.592786	1.12036e-07
0.594254	1.141e-07
0.595721	1.16207e-07
0.597188	1.18359e-07
0.598656	1.20556e-07
0.600123	1.22799e-07
0.60159	1.25089e-07
0.603057	1.27427e-07
0.604525	1.29815e-07
0.605992	1.32252e-07
0.607459	1.3474e-07
0.608927	1.3728e-07
0.610394	1.39874e-07
0.611861	1.42521e-07
0.613328	1.45223e-07
0.614796	1.47981e-07
0.616263	1.50797e-07
0.61773	1.5367e-07
0.619198	1.56603e-07
0.620665	1.59595e-07
0.622132	1.6265e-07
0.623599	1.65766e-07
0.625067	1.68946e-07
0.626534	1.72191e-07
0.628001	1.75502e-07
0.629469	1.7888e-07
0.630936	1.82325e-07
0.632403	1.85841e-07
0.633871	1.89426e-07
0.635338	1.93084e-07
0.636805	1.96814e-07
0.638272	2.00619e-07
0.63974	2.04499e-07
0.641207	2.08455e-07
0.642674	2.1249e-07
0.644142	2.16604e-07
0.645609	2.20799e-07
0.647076	2.25076e-07
0.648543	2.29436e-07
0.650011	2.33881e-07
0.651478	2.38412e-07
0.652945	2.4303e-07
0.654413	2.47738e-07
0.65588	2.52535e-07
0.657347	2.57425e-07
0.658815	2.62408e-07
0.660282	2.67486e-07
0.661749	2.7266e-07
0.663216	2.77932e-07
0.664684	2.83304e-07
0.666151	2.88776e-07
0.667618	2.94352e-07
0.669086	3.00033e-07
0.670553	3.05819e-07
0.67202	3.11714e-07
0.673487	3.17718e-07
0.674955	3.23834e-07
0.676422	3.30063e-07
0.677889	3.36408e-07
0.679357	3.4287e-07
0.680824	3.49451e-07
0.682291	3.56154e-07
0.683758	3.6298e-07
0.685226	3.69931e-07
0.686693	3.77009e-07
0.68816	3.84218e-07
0.689628	3.91558e-07
0.691095	3.99033e-07
0.692562	4.06644e-07
0.69403	4.14394e-07
0.695497	4.22285e-07
0.696964	4.3032e-07
0.698431	4.38502e-07
0.699899	4.46832e-07
0.701366	4.55313e-07
0.702833	4.63948e-07
0.704301	4.7274e-07
0.705768	4.81692e-07
0.707235	4.90805e-07
0.708702	5.00084e-07
0.71017	5.0953e-07
0.711637	5.19147e-07
0.713104	5.28937e-07
0.714572	5.38905e-07
0.716039	5.49051e-07
0.717506	5.59381e-07
0.718973	5.69896e-07
0.720441	5.80601e-07
0.721908	5.91498e-07
0.723375	6.0259e-07
0.724843	6.13881e-07
0.72631	6.25374e-07
0.727777	6.37072e-07
0.729245	6.4898e-07
0.730712	6.611e-07
0.732179	6.73436e-07
0.733646	6.85992e-07
0.735114	6.98771e-07
0.736581	7.11777e-07
0.738048	7.25014e-07
0.739516	7.38486e-07
0.740983	7.52196e-07
0.74245	7.66149e-07
0.743917	7.80348e-07
0.745385	7.94798e-07
0.746852	8.09502e-07
0.748319	8.24466e-07
0.749787	8.39693e-07
0.751254	8.55188e-07
0.752721	8.70955e-07
0.754189	8.86998e-07
0.755656	9.03323e-07
0.757123	9.19934e-07
0.75859	9.36835e-07
0.760058	9.54032e-07
0.761525	9.7153e-07
0.762992	9.89333e-07
0.76446	1.00745e-06
0.765927	1.02588e-06
0.767394	1.04463e-06
0.768861	1.0637e-06
0.770329	1.08311e-06
0.771796	1.10286e-06
0.773263	1.12295e-06
0.774731	1.14338e-06
0.776198	1.16418e-06
0.777665	1.18533e-06
0.779133	1.20685e-06
0.7806	1.22874e-06
0.782067	1.25101e-06
0.783534	1.27366e-06
0.785002	1.29671e-06
0.786469	1.32015e-06
0.787936	1.344e-06
0.789404	1.36826e-06
0.790871	1.39294e-06
0.792338	1.41804e-06
0.793805	1.44357e-06
0.795273	1.46954e-06
0.79674	1.49596e-06
0.798207	1.52282e-06
0.799675	1.55015e-06
0.801142	1.57795e-06
0.802609	1.60622e-06
0.804077	1.63497e-06
0.805544	1.66422e-06
0.807011	1.69396e-06
0.808478	1.72421e-06
0.809946	1.75497e-06
0.811413	1.78625e-06
0.81288	1.81807e-06
0.814348	1.85042e-06
0.815815	1.88332e-06
0.817282	1.91677e-06
0.818749	1.95079e-06
0.820217	1.98539e-06
0.821684	2.02056e-06
0.823151	2.05633e-06
0.824619	2.09269e-06
0.826086	2.12967e-06
0.827553	2.16726e-06
0.82902	2.20548e-06
0.830488	2.24434e-06
0.831955	2.28385e-06
0.833422	2.32401e-06
0.83489	2.36484e-06
0.836357	2.40635e-06
0.837824	2.44855e-06
0.839292	2.49144e-06
0.840759	2.53504e-06
0.842226	2.57936e-06
0.843693	2.62441e-06
0.845161	2.6702e-06
0.846628	2.71674e-06
0.848095	2.76404e-06
0.849563	2.81211e-06
0.85103	2.86097e-06
0.852497	2.91063e-06
0.853964	2.96109e-06
0.855432	3.01237e-06
0.856899	3.06448e-06
0.858366	3.11744e-06
0.859834	3.17125e-06
0.861301	3.22594e-06
0.862768	3.2815e-06
0.864236	3.33795e-06
0.865703	3.39531e-06
0.86717	3.45359e-06
0.868637	3.51281e-06
0.870105	3.57296e-06
0.871572	3.63408e-06
0.873039	3.69617e-06
0.874507	3.75925e-06
0.875974	3.82332e-06
0.877441	3.88841e-06
0.878908	3.95454e-06
0.880376	4.0217e-06
0.881843	4.08992e-06
0.88331	4.15922e-06
0.884778	4.22961e-06
0.886245	4.3011e-06
0.887712	4.37371e-06
0.88918	4.44746e-06
0.890647	4.52235e-06
0.892114	4.59842e-06
0.893581	4.67567e-06
0.895049	4.75412e-06
0.896516	4.83379e-06
0.897983	4.91469e-06
0.899451	4.99684e-06
0.900918	5.08027e-06
0.902385	5.16498e-06
0.903852	5.251e-06
0.90532	5.33834e-06
0.906787	5.42702e-06
0.908254	5.51707e-06
0.909722	5.60849e-06
0.911189	5.70131e-06
0.912656	5.79556e-06
0.914123	5.89123e-06
0.915591	5.98837e-06
0.917058	6.08698e-06
0.918525	6.1871e-06
0.919993	6.28873e-06
0.92146	6.3919e-06
0.922927	6.49663e-06
0.924395	6.60294e-06
0.925862	6.71085e-06
0.927329	6.82039e-06
0.928796	6.93158e-06
0.930264	7.04444e-06
0.931731	7.15898e-06
0.933198	7.27525e-06
0.934666	7.39325e-06
0.936133	7.51301e-06
0.9376	7.63455e-06
0.939067	7.75791e-06
0.940535	7.88309e-06
0.942002	8.01013e-06
0.943469	8.13905e-06
0.944937	8.26988e-06
0.946404	8.40264e-06
0.947871	8.53735e-06
0.949338	8.67405e-06
0.950806	8.81275e-06
0.952273	8.95349e-06
0.95374	9.09629e-06
0.955208	9.24117e-06
0.956675	9.38817e-06
0.958142	9.53731e-06
0.95961	9.68862e-06
0.961077	9.84213e-06
0.962544	9.99786e-06
0.964011	1.01558e-05
0.965479	1.03161e-05
0.966946	1.04787e-05
0.968413	1.06436e-05
0.969881	1.08109e-05
0.971348	1.09806e-05
0.972815	1.11527e-05
0.974282	1.13273e-05
0.97575	1.15044e-05
0.977217	1.1684e-05
0.978684	1.18661e-05
0.980152	1.20509e-05
0.981619	1.22382e-05
0.983086	1.24283e-05
0.984554	1.2621e-05
0.986021	1.28164e-05
0.987488	1.30146e-05
0.988955	1.32156e-05
0.990423	1.34194e-05
0.99189	1.3626e-05
0.993357	1.38356e-05
0.994825	1.4048e-05
0.996292	1.42635e-05
0.997759	1.44819e-05
0.999226	1.47034e-05
1.00069	1.4928e-05
1.00216	1.51557e-05
1.00363	1.53865e-05
1.0051	1.56205e-05
1.00656	1.58577e-05
1.00803	1.60983e-05
1.0095	1.63421e-05
1.01096	1.65893e-05
1.01243	1.68398e-05
1.0139	1.70938e-05
1.01537	1.73513e-05
1.01683	1.76122e-05
1.0183	1.78767e-05
1.01977	1.81449e-05
1.02124	1.84166e-05
1.0227	1.86921e-05
1.02417	1.89712e-05
1.02564	1.92542e-05
1.02711	1.95409e-05
1.02857	1.98315e-05
1.03004	2.0126e-05
1.03151	2.04245e-05
1.03297	2.07269e-05
1.03444	2.10334e-05
1.03591	2.1344e-05
1.03738	2.16587e-05
1.03884	2.19776e-05
1.04031	2.23007e-05
1.04178	2.26282e-05
1.04325	2.29599e-05
1.04471	2.3296e-05
1.04618	2.36366e-05
1.04765	2.39816e-05
1.04911	2.43311e-05
1.05058	2.46853e-05
1.05205	2.5044e-05
1.05352	2.54075e-05
1.05498	2.57757e-05
1.05645	2.61486e-05
1.05792	2.65264e-05
1.05939	2.69092e-05
1.06085	2.72968e-05
1.06232	2.76895e-05
1.06379	2.80872e-05
1.06525	2.849e-05
1.06672	2.88981e-05
1.06819	2.93113e-05
1.06966	2.97298e-05
1.07112	3.01537e-05
1.07259	3.0583e-05
1.07406	3.10177e-05
1.07553	3.14579e-05
1.07699	3.19038e-05
1.07846	3.23552e-05
1.07993	3.28124e-05
1.08139	3.32753e-05
1.08286	3.3744e-05
1.08433	3.42186e-05
1.0858	3.46992e-05
1.08726	3.51858e-05
1.08873	3.56784e-05
1.0902	3.61772e-05
1.09167	3.66821e-05
1.09313	3.71934e-05
1.0946	3.77109e-05
1.09607	3.82349e-05
1.09754	3.87653e-05
1.099	3.93022e-05
1.10047	3.98457e-05
1.10194	4.03959e-05
1.1034	4.09529e-05
1.10487	4.15166e-05
1.10634	4.20871e-05
1.10781	4.26647e-05
1.10927	4.32492e-05
1.11074	4.38408e-05
1.11221	4.44395e-05
1.11368	4.50455e-05
1.11514	4.56588e-05
1.11661	4.62794e-05
1.11808	4.69075e-05
1.11954	4.75431e-05
1.12101	4.81862e-05
1.12248	4.8837e-05
1.12395	4.94956e-05
1.12541	5.0162e-05
1.12688	5.08362e-05
1.12835	5.15184e-05
1.12982	5.22087e-05
1.13128	5.29071e-05
1.13275	5.36136e-05
1.13422	5.43285e-05
1.13568	5.50517e-05
1.13715	5.57833e-05
1.13862	5.65234e-05
1.14009	5.72722e-05
1.14155	5.80296e-05
1.14302	5.87957e-05
1.14449	5.95707e-05
1.14596	6.03546e-05
1.14742	6.11475e-05
1.14889	6.19495e-05
1.15036	6.27607e-05
1.15182	6.35811e-05
1.15329	6.44108e-05
1.15476	6.525e-05
1.15623	6.60986e-05
1.15769	6.69569e-05
1.15916	6.78248e-05
1.16063	6.87025e-05
1.1621	6.959e-05
1.16356	7.04875e-05
1.16503	7.1395e-05
1.1665	7.23126e-05
1.16797	7.32405e-05
1.16943	7.41785e-05
1.1709	7.5127e-05
1.17237	7.6086e-05
1.17383	7.70555e-05
1.1753	7.80357e-05
1.17677	7.90266e-05
1.17824	8.00283e-05
1.1797	8.1041e-05
1.18117	8.20646e-05
1.18264	8.30994e-05
1.18411	8.41454e-05
1.18557	8.52027e-05
1.18704	8.62714e-05
1.18851	8.73515e-05
1.18997	8.84432e-05
1.19144	8.95466e-05
1.19291	9.06618e-05
1.19438	9.17888e-05
1.19584	9.29278e-05
1.19731	9.40789e-05
1.19878	9.5242e-05
1.20025	9.64175e-05
1.20171	9.76053e-05
1.20318	9.88055e-05
1.20465	0.000100018
1.20611	0.000101244
1.20758	0.000102482
1.20905	0.000103733
1.21052	0.000104997
1.21198	0.000106274
1.21345	0.000107564
1.21492	0.000108867
1.21639	0.000110183
1.21785	0.000111513
1.21932	0.000112857
1.22079	0.000114214
1.22225	0.000115585
1.22372	0.00011697
1.22519	0.000118368
1.22666	0.000119781
1.22812	0.000121208
1.22959	0.000122649
1.23106	0.000124104
1.23253	0.000125574
1.23399	0.000127058
1.23546	0.000128557
1.23693	0.000130071
1.2384	0.0001316
1.23986	0.000133143
1.24133	0.000134702
1.2428	0.000136275
1.24426	0.000137864
1.24573	0.000139468
1.2472	0.000141088
1.24867	0.000142723
1.25013	0.000144374
1.2516	0.000146041
1.25307	0.000147723
1.25454	0.000149422
1.256	0.000151136
1.25747	0.000152867
1.25894	0.000154614
1.2604	0.000156377
1.26187	0.000158157
1.26334	0.000159953
1.26481	0.000161766
1.26627	0.000163596
1.26774	0.000165443
1.26921	0.000167306
1.27068	0.000169187
1.27214	0.000171085
1.27361	0.000173
1.27508	0.000174933
1.27654	0.000176883
1.27801	0.00017885
1.27948	0.000180835
1.28095	0.000182838
1.28241	0.000184859
1.28388	0.000186898
1.28535	0.000188954
1.28682	0.000191029
1.28828	0.000193123
1.28975	0.000195234
1.29122	0.000197364
1.29269	0.000199513
1.29415	0.00020168
1.29562	0.000203866
1.29709	0.00020607
1.29855	0.000208294
1.30002	0.000210537
1.30149	0.000212798
