,SNR Input,mean SNR out,std SNR out,fit slope,Number of Sums
0,0.001,3.372206843899623,0.35267238695965175,5.75420859366045,229
1,0.05149494949494949,3.454411107146196,0.42760324635482033,5.75420859366045,229
2,0.10198989898989898,3.313389817518116,0.4035746298449077,5.75420859366045,229
3,0.15248484848484847,3.340131729172855,0.35144365140946093,5.75420859366045,229
4,0.20297979797979795,3.3781211532648023,0.4585092470805565,5.75420859366045,229
5,0.25347474747474746,3.4290297800060183,0.43989437465019576,5.75420859366045,229
6,0.30396969696969695,3.5623089903720326,0.48102749272223133,5.75420859366045,229
7,0.3544646464646464,3.6291768083292517,0.4399383171958401,5.75420859366045,229
8,0.4049595959595959,3.678494801834891,0.5301149521164663,5.75420859366045,229
9,0.4554545454545454,3.735696124421776,0.5644986998210002,5.75420859366045,229
10,0.5059494949494949,3.9302133928852645,0.5948971208948715,5.75420859366045,229
11,0.5564444444444444,3.9772707572553925,0.6163951718239921,5.75420859366045,229
12,0.6069393939393939,4.325259354643921,0.7354044666556858,5.75420859366045,229
13,0.6574343434343434,4.477718861660027,0.6260761453478287,5.75420859366045,229
14,0.7079292929292929,4.7262842989845435,0.8737949431071549,5.75420859366045,229
15,0.7584242424242423,4.915823990603147,0.8022418153643607,5.75420859366045,229
16,0.8089191919191918,5.103476660029067,0.7978083908435646,5.75420859366045,229
17,0.8594141414141413,5.396009245340236,0.919602105756028,5.75420859366045,229
18,0.9099090909090908,5.7233741240312375,0.9719415982939771,5.75420859366045,229
19,0.9604040404040403,5.710109141016931,0.8244132206904368,5.75420859366045,229
20,1.0108989898989897,6.241988235441875,0.8933956039111481,5.75420859366045,229
21,1.0613939393939391,6.280254506255655,0.9453118372191255,5.75420859366045,229
22,1.1118888888888887,6.7408734663239205,0.9775937662898991,5.75420859366045,229
23,1.162383838383838,6.986740070082273,0.987976533029468,5.75420859366045,229
24,1.2128787878787877,7.437712341450638,0.89984968152586,5.75420859366045,229
25,1.263373737373737,7.628992948531418,1.0461388267857974,5.75420859366045,229
26,1.3138686868686866,7.776437390410398,0.874332275703594,5.75420859366045,229
27,1.364363636363636,8.017597919526002,0.8585887188135216,5.75420859366045,229
28,1.4148585858585856,8.589107478521987,1.0236420805035538,5.75420859366045,229
29,1.465353535353535,8.738265083394134,0.9636405014971519,5.75420859366045,229
30,1.5158484848484846,8.887018718067782,1.0028107716333807,5.75420859366045,229
31,1.566343434343434,9.028464973336192,0.9377402237474816,5.75420859366045,229
32,1.6168383838383835,9.778913822028619,0.8482471256667563,5.75420859366045,229
33,1.6673333333333331,9.904672671601809,1.0328590020121653,5.75420859366045,229
34,1.7178282828282825,10.180308793710523,0.8904838199200538,5.75420859366045,229
35,1.768323232323232,10.512667542321099,1.0580226355008278,5.75420859366045,229
36,1.8188181818181814,10.866627453423849,1.123307888058453,5.75420859366045,229
37,1.869313131313131,10.973327425631354,0.9513011414950288,5.75420859366045,229
38,1.9198080808080804,11.378655998667348,1.0952023967378373,5.75420859366045,229
39,1.97030303030303,11.356911663540352,0.976837780574172,5.75420859366045,229
40,2.0207979797979796,11.841668063495,1.0582283295720445,5.75420859366045,229
41,2.071292929292929,12.13869910945022,1.0144762311608144,5.75420859366045,229
42,2.1217878787878783,12.355093796294558,1.1832655759569748,5.75420859366045,229
43,2.1722828282828277,12.713730438417892,1.0395285667573506,5.75420859366045,229
44,2.2227777777777775,13.18048075293894,0.9887214450665324,5.75420859366045,229
45,2.273272727272727,13.353942822250541,1.1180015964796586,5.75420859366045,229
46,2.3237676767676763,13.685164945265791,0.9721074482440957,5.75420859366045,229
47,2.3742626262626256,13.793940536716768,1.0442857693158558,5.75420859366045,229
48,2.4247575757575754,14.101434188360004,0.9331459904563262,5.75420859366045,229
49,2.475252525252525,14.695880888142378,0.8284622451157612,5.75420859366045,229
50,2.525747474747474,14.89282553036654,1.0857260537633016,5.75420859366045,229
51,2.576242424242424,15.159172635161317,1.1034356679800736,5.75420859366045,229
52,2.6267373737373734,15.453273838400778,1.0742143322850395,5.75420859366045,229
53,2.6772323232323227,15.502167428100883,0.9800321854519494,5.75420859366045,229
54,2.727727272727272,15.980160838836875,1.0315772742312868,5.75420859366045,229
55,2.778222222222222,16.08679120110046,1.0300270874875346,5.75420859366045,229
56,2.8287171717171713,16.446164487096226,1.049520034605886,5.75420859366045,229
57,2.8792121212121207,16.864919579364607,1.0178918387988398,5.75420859366045,229
58,2.92970707070707,17.13565210671245,0.978723398233217,5.75420859366045,229
59,2.98020202020202,17.470270341717203,1.060214590347528,5.75420859366045,229
60,3.0306969696969692,17.534302491813172,1.1265369369381673,5.75420859366045,229
61,3.0811919191919186,18.151601593223475,1.20922133118115,5.75420859366045,229
62,3.131686868686868,18.132609825883776,0.9438372099112845,5.75420859366045,229
63,3.182181818181818,18.611657653856714,1.1028577884659234,5.75420859366045,229
64,3.232676767676767,18.683995561128878,1.0777662510207142,5.75420859366045,229
65,3.2831717171717165,19.18435688026432,1.1777314033361383,5.75420859366045,229
66,3.3336666666666663,19.50857705059622,1.1229397152549856,5.75420859366045,229
67,3.3841616161616157,19.96710648299122,0.9420559044340436,5.75420859366045,229
68,3.434656565656565,20.06061459561637,1.0658635361164277,5.75420859366045,229
69,3.4851515151515144,20.395549364701957,1.192080322425098,5.75420859366045,229
70,3.5356464646464643,20.803099249192233,1.1981815223748933,5.75420859366045,229
71,3.5861414141414136,20.880755921945386,1.0260003188609192,5.75420859366045,229
72,3.636636363636363,21.0443551879616,1.077035929748883,5.75420859366045,229
