,SNR Input,mean SNR out,std SNR out,fit slope,Number of Sums
0,0.001,2.73427226614505,0.3504685857015892,4.18669291377037,126
1,0.1030204081632653,2.7243727888721585,0.34224484973449953,4.18669291377037,126
2,0.2050408163265306,2.738493754372632,0.34461685956643606,4.18669291377037,126
3,0.3070612244897959,2.782419049197673,0.3803974501603115,4.18669291377037,126
4,0.4090816326530612,2.8394150799062627,0.4020132176320032,4.18669291377037,126
5,0.5111020408163265,2.996837708998335,0.4623687442321994,4.18669291377037,126
6,0.6131224489795918,3.200738136455367,0.5709406324705343,4.18669291377037,126
7,0.7151428571428571,3.4546030683600457,0.5939969154380873,4.18669291377037,126
8,0.8171632653061224,3.7281693899022987,0.662307035846772,4.18669291377037,126
9,0.9191836734693877,4.124266201044631,0.7569848139795519,4.18669291377037,126
10,1.0212040816326529,4.40012542851314,0.784242718753092,4.18669291377037,126
11,1.123224489795918,4.879207542999612,0.8003502962968442,4.18669291377037,126
12,1.2252448979591835,5.2568982400464055,0.8776835701317228,4.18669291377037,126
13,1.3272653061224489,5.64597734150228,0.8781753604064454,4.18669291377037,126
14,1.429285714285714,6.030741893465017,0.8526698272578195,4.18669291377037,126
15,1.5313061224489792,6.577888620168728,0.8663749372161682,4.18669291377037,126
16,1.6333265306122446,6.990215661712998,0.8479587333315143,4.18669291377037,126
17,1.73534693877551,7.399472123121262,0.8846566528724615,4.18669291377037,126
18,1.8373673469387752,7.834442843157405,0.8505692507760514,4.18669291377037,126
19,1.9393877551020404,8.237972483158073,0.8171226627514687,4.18669291377037,126
20,2.041408163265306,8.60569711129466,0.8613953523241301,4.18669291377037,126
21,2.1434285714285712,9.090276828219464,0.9003426110127395,4.18669291377037,126
22,2.245448979591836,9.524406586930423,0.8938770400811278,4.18669291377037,126
23,2.3474693877551016,9.941957115386021,0.8659618043667359,4.18669291377037,126
24,2.449489795918367,10.297330790334104,0.9254903146800453,4.18669291377037,126
25,2.5515102040816324,10.740684996485331,0.9401042669053157,4.18669291377037,126
26,2.653530612244898,11.200955519699402,0.8899727609698758,4.18669291377037,126
27,2.755551020408163,11.639182461951895,0.8981765458404157,4.18669291377037,126
28,2.857571428571428,12.080513291335235,0.8617217308276581,4.18669291377037,126
29,2.9595918367346936,12.522333507721346,0.9198164245981275,4.18669291377037,126
30,3.0616122448979586,12.900229473572502,0.8745037143516903,4.18669291377037,126
31,3.163632653061224,13.345433493847656,0.9141076190128049,4.18669291377037,126
32,3.2656530612244894,13.771512628452486,0.9610841869201033,4.18669291377037,126
33,3.367673469387755,14.196531651123456,0.9183431743877443,4.18669291377037,126
34,3.46969387755102,14.630294023524975,0.9153372113127377,4.18669291377037,126
35,3.571714285714285,15.12413591489877,0.9762630742203818,4.18669291377037,126
36,3.6737346938775506,15.399185860199221,0.9047365596809004,4.18669291377037,126
37,3.775755102040816,15.90846824918388,0.9686018293616888,4.18669291377037,126
38,3.877775510204081,16.411326977040968,0.9266077004801825,4.18669291377037,126
39,3.9797959183673464,16.722389273564502,0.9967476604833294,4.18669291377037,126
40,4.081816326530612,17.235122943627466,0.9279627698504073,4.18669291377037,126
41,4.183836734693878,17.61374242361513,0.9858012293257542,4.18669291377037,126
42,4.285857142857143,18.069734784223392,0.9380035856770946,4.18669291377037,126
43,4.387877551020408,18.37565883587489,1.037368996387602,4.18669291377037,126
44,4.489897959183673,18.95707827593749,1.012263689540958,4.18669291377037,126
45,4.591918367346938,19.332263674499593,1.0017493477690742,4.18669291377037,126
46,4.693938775510204,19.843326386146252,1.0328790350652441,4.18669291377037,126
47,4.795959183673469,20.20845371083742,0.9799562848440531,4.18669291377037,126
48,4.897979591836735,20.631366314232423,1.0311169889510665,4.18669291377037,126
49,5.0,21.063794304954317,1.003139164541662,4.18669291377037,126
