,SNR Input,mean SNR out,std SNR out,fit slope,Num Sums
0,0.044935342,2.085782988,0.489811205,3.912004229,41
1,0.045308985,2.034034461,0.485807425,3.912004229,41
2,0.046391945,2.063499484,0.505396685,3.912004229,41
3,0.046759673,1.998733396,0.508678204,3.912004229,41
4,0.046390215,2.028122264,0.474031711,3.912004229,41
5,0.047452325,2.059859742,0.493256457,3.912004229,41
6,0.048080566,2.025996953,0.52103252,3.912004229,41
7,0.048376762,2.015090153,0.466156986,3.912004229,41
8,0.049294564,2.031591433,0.509590256,3.912004229,41
9,0.049697464,1.998129429,0.474810196,3.912004229,41
10,0.050280853,2.0299262,0.478145737,3.912004229,41
11,0.050815059,2.041840505,0.505365072,3.912004229,41
12,0.051236937,2.029148849,0.470501028,3.912004229,41
13,0.051595367,2.038493868,0.462727199,3.912004229,41
14,0.052935781,2.04491176,0.467065639,3.912004229,41
15,0.052818241,2.003125925,0.459592175,3.912004229,41
16,0.053267247,2.093281704,0.470070928,3.912004229,41
17,0.054312194,2.078971527,0.518082719,3.912004229,41
18,0.055147098,2.033421769,0.487433579,3.912004229,41
19,0.056083851,1.97775243,0.425562022,3.912004229,41
20,0.056383287,1.970866929,0.487678268,3.912004229,41
21,0.05753891,2.014418047,0.452523944,3.912004229,41
22,0.058030712,2.042295069,0.470754254,3.912004229,41
23,0.058243596,2.012371456,0.470388567,3.912004229,41
24,0.059856243,2.091134224,0.530794356,3.912004229,41
25,0.060196772,2.030476993,0.490890353,3.912004229,41
26,0.061527906,2.020938792,0.509278481,3.912004229,41
27,0.062361406,2.080163725,0.515806167,3.912004229,41
28,0.062735771,2.030478821,0.518859955,3.912004229,41
29,0.063239182,2.033506469,0.489128473,3.912004229,41
30,0.064078809,2.036554039,0.45923901,3.912004229,41
31,0.06549251,2.035066887,0.505707583,3.912004229,41
32,0.065558909,2.029591818,0.462366854,3.912004229,41
33,0.066847496,2.047915128,0.493006706,3.912004229,41
34,0.067790773,2.051961222,0.529462236,3.912004229,41
35,0.068811085,2.020126295,0.495551143,3.912004229,41
36,0.071135413,2.097632607,0.468133472,3.912004229,41
37,0.071207251,1.990827466,0.445645051,3.912004229,41
38,0.07189941,2.046645669,0.495437794,3.912004229,41
39,0.074480611,2.086530185,0.473235574,3.912004229,41
40,0.075798246,2.037878588,0.468954362,3.912004229,41
41,0.076434368,2.071825902,0.463788365,3.912004229,41
42,0.076779027,2.023625815,0.447660507,3.912004229,41
43,0.079126507,2.045415368,0.476885572,3.912004229,41
44,0.081294628,2.01108146,0.475915843,3.912004229,41
45,0.081930967,2.079103721,0.514385981,3.912004229,41
46,0.08354479,2.050194842,0.483073197,3.912004229,41
47,0.084739635,2.048664309,0.517656547,3.912004229,41
48,0.086914783,2.122254748,0.497638469,3.912004229,41
49,0.088673105,2.042208158,0.499938283,3.912004229,41
50,0.089480945,2.02977229,0.475639089,3.912004229,41
51,0.092199376,2.036277333,0.454564427,3.912004229,41
52,0.094152647,2.055212207,0.497019385,3.912004229,41
53,0.095785996,2.047670497,0.505601117,3.912004229,41
54,0.097333662,2.042525476,0.458864881,3.912004229,41
55,0.099897334,2.034532175,0.499100738,3.912004229,41
56,0.103162211,2.083876584,0.528079229,3.912004229,41
57,0.103702074,2.083489552,0.509108155,3.912004229,41
58,0.108340591,2.106214961,0.476487997,3.912004229,41
59,0.109888822,2.058508099,0.48325256,3.912004229,41
60,0.111582591,2.058285888,0.502677159,3.912004229,41
61,0.115857632,2.040867132,0.47042556,3.912004229,41
62,0.117871355,2.046772236,0.484009155,3.912004229,41
63,0.122156469,2.097351287,0.511736096,3.912004229,41
64,0.125359588,2.051653427,0.502275099,3.912004229,41
65,0.129975671,2.089941247,0.468047707,3.912004229,41
66,0.132350935,2.106697284,0.471369539,3.912004229,41
67,0.136729152,2.104436393,0.520799345,3.912004229,41
